ppt,condition,gist_correct
P08,Auditory,0.178571429
P08,Auditory,0.107142857
P09,Auditory,0.517857143
P09,Auditory,0.482142857
P10,Auditory,0.535714286
P10,Auditory,0.517857143
P11,Auditory,0.375
P11,Auditory,0.232142857
P12,Auditory,0.5
P12,Auditory,0.428571429
P13,Auditory,0.410714286
P13,Auditory,0.410714286
P14,Auditory,0.232142857
P14,Auditory,0.160714286
P15,Auditory,0.357142857
P15,Auditory,0.553571429
P16,Auditory,0.428571429
P16,Auditory,0.553571429
P18,Auditory,0.25
P18,Auditory,0.375
P19,Auditory,0.321428571
P19,Auditory,0.232142857
P20,Auditory,0.446428571
P20,Auditory,0.5
P21,Auditory,0.25
P21,Auditory,0.267857143
P22,Auditory,0.214285714
P22,Auditory,0.285714286
P23,Auditory,0.142857143
P23,Auditory,0.375
P24,Auditory,0.214285714
P24,Auditory,0.267857143
P25,Auditory,0.25
P25,Auditory,0.321428571
P26,Auditory,0.357142857
P26,Auditory,0.25
P27,Auditory,0.107142857
P27,Auditory,0.107142857
P28,Auditory,0.160714286
P28,Auditory,0.357142857
P29,Auditory,0.410714286
P29,Auditory,0.410714286
P30,Auditory,0.285714286
P30,Auditory,0.357142857
P31,Auditory,0.321428571
P31,Auditory,0.410714286
P32,Auditory,0.339285714
P32,Auditory,0.303571429
P33,Auditory,0.392857143
P33,Auditory,0.321428571
P34,Auditory,0.339285714
P34,Auditory,0.285714286
P35,Auditory,0.232142857
P35,Auditory,0.178571429
P36,Auditory,0.339285714
P36,Auditory,0.125
P37,Auditory,0.25
P37,Auditory,0.196428571
P38,Auditory,0.160714286
P38,Auditory,0.375
P39,Auditory,0.178571429
P39,Auditory,0.285714286
P40,Auditory,0.392857143
P40,Auditory,0.446428571
P41,Auditory,0.214285714
P41,Auditory,0.160714286
P42,Auditory,0.428571429
P42,Auditory,0.285714286
P43,Auditory,0.446428571
P43,Auditory,0.410714286
P44,Auditory,0.142857143
P44,Auditory,0.321428571
P45,Auditory,0.089285714
P45,Auditory,0.107142857
P46,Auditory,0.339285714
P46,Auditory,0.339285714
P47,Auditory,0.375
P47,Auditory,0.446428571
P48,Auditory,0.339285714
P48,Auditory,0.339285714
P08,Multimodal,0.25
P08,Multimodal,0.218181818
P09,Multimodal,0.607142857
P09,Multimodal,0.482142857
P10,Multimodal,0.446428571
P10,Multimodal,0.482142857
P11,Multimodal,0.339285714
P11,Multimodal,0.375
P12,Multimodal,0.410714286
P12,Multimodal,0.303571429
P13,Multimodal,0.446428571
P13,Multimodal,0.428571429
P14,Multimodal,0.345454545
P14,Multimodal,0.410714286
P15,Multimodal,0.375
P15,Multimodal,0.303571429
P16,Multimodal,0.4
P16,Multimodal,0.642857143
P18,Multimodal,0.303571429
P18,Multimodal,0.327272727
P19,Multimodal,0.428571429
P19,Multimodal,0.196428571
P20,Multimodal,0.553571429
P20,Multimodal,0.410714286
P21,Multimodal,0.321428571
P21,Multimodal,0.375
P22,Multimodal,0.236363636
P22,Multimodal,0.160714286
P23,Multimodal,0.232142857
P23,Multimodal,0.160714286
P24,Multimodal,0.160714286
P24,Multimodal,0.232142857
P25,Multimodal,0.363636364
P25,Multimodal,0.392857143
P26,Multimodal,0.321428571
P26,Multimodal,0.5
P27,Multimodal,0.089285714
P27,Multimodal,0.017857143
P28,Multimodal,0.272727273
P28,Multimodal,0.357142857
P29,Multimodal,0.392857143
P29,Multimodal,0.267857143
P30,Multimodal,0.285714286
P30,Multimodal,0.357142857
P31,Multimodal,0.428571429
P31,Multimodal,0.428571429
P32,Multimodal,0.214285714
P32,Multimodal,0.285714286
P33,Multimodal,0.446428571
P33,Multimodal,0.339285714
P34,Multimodal,0.25
P34,Multimodal,0.363636364
P35,Multimodal,0.142857143
P35,Multimodal,0.25
P36,Multimodal,0.375
P36,Multimodal,0.410714286
P37,Multimodal,0.089285714
P37,Multimodal,0.363636364
P38,Multimodal,0.339285714
P38,Multimodal,0.321428571
P39,Multimodal,0.267857143
P39,Multimodal,0.285714286
P40,Multimodal,0.482142857
P40,Multimodal,0.490909091
P41,Multimodal,0.309090909
P41,Multimodal,0.107142857
P42,Multimodal,0.303571429
P42,Multimodal,0.303571429
P43,Multimodal,0.363636364
P43,Multimodal,0.410714286
P44,Multimodal,0.142857143
P44,Multimodal,0.321428571
P45,Multimodal,0.107142857
P45,Multimodal,0.125
P46,Multimodal,0.392857143
P46,Multimodal,0.309090909
P47,Multimodal,0.553571429
P47,Multimodal,0.625
P48,Multimodal,0.410714286
P48,Multimodal,0.303571429
P08,Visual,0.071428571
P08,Visual,0.232142857
P09,Visual,0.517857143
P09,Visual,0.678571429
P10,Visual,0.410714286
P10,Visual,0.5
P11,Visual,0.446428571
P11,Visual,0.392857143
P12,Visual,0.357142857
P12,Visual,0.375
P13,Visual,0.303571429
P13,Visual,0.428571429
P14,Visual,0.285714286
P14,Visual,0.339285714
P15,Visual,0.428571429
P15,Visual,0.517857143
P16,Visual,0.553571429
P16,Visual,0.696428571
P18,Visual,0.589285714
P18,Visual,0.375
P19,Visual,0.321428571
P19,Visual,0.267857143
P20,Visual,0.464285714
P20,Visual,0.5
P21,Visual,0.303571429
P21,Visual,0.303571429
P22,Visual,0.232142857
P22,Visual,0.178571429
P23,Visual,0.160714286
P23,Visual,0.125
P24,Visual,0.285714286
P24,Visual,0.196428571
P25,Visual,0.232142857
P25,Visual,0.464285714
P26,Visual,0.357142857
P26,Visual,0.446428571
P27,Visual,0.178571429
P27,Visual,0.232142857
P28,Visual,0.428571429
P28,Visual,0.321428571
P29,Visual,0.25
P29,Visual,0.357142857
P30,Visual,0.446428571
P30,Visual,0.339285714
P31,Visual,0.482142857
P31,Visual,0.464285714
P32,Visual,0.375
P32,Visual,0.357142857
P33,Visual,0.339285714
P33,Visual,0.535714286
P34,Visual,0.178571429
P34,Visual,0.303571429
P35,Visual,0.178571429
P35,Visual,0.232142857
P36,Visual,0.160714286
P36,Visual,0.321428571
P37,Visual,0.285714286
P37,Visual,0.196428571
P38,Visual,0.5
P38,Visual,0.375
P39,Visual,0.392857143
P39,Visual,0.267857143
P40,Visual,0.5
P40,Visual,0.5
P41,Visual,0.267857143
P41,Visual,0.410714286
P42,Visual,0.375
P42,Visual,0.517857143
P43,Visual,0.482142857
P43,Visual,0.428571429
P44,Visual,0.160714286
P44,Visual,0.214285714
P45,Visual,0.125
P45,Visual,0.125
P46,Visual,0.428571429
P46,Visual,0.375
P47,Visual,0.375
P47,Visual,0.446428571
P48,Visual,0.446428571
P48,Visual,0.428571429
