age,perabil,cheating,gamesman,commit,conven,task,ego
13.06,43,9,16,22,19,30,28
15.64,34,8,17,20,15,26,27
13.09,27,6,8,23,24,27,18
12.89,26,6,19,23,21,28,19
13.72,39,6,21,24,20,33,23
14.24,36,11,13,19,20,28,21
15.7,36,12,22,19,19,27,25
12.79,39,6,11,25,25,30,8
12.26,45,7,16,21,18,28,21
15.82,41,16,25,20,18,28,21
12.13,33,6,11,18,20,30,18
14.49,34,6,15,18,22,31,28
14.22,35,13,21,22,19,26,18
12.01,26,7,9,19,14,23,13
14.78,39,6,26,20,17,25,30
14.72,45,6,20,21,23,32,30
14.31,37,7,10,21,16,33,27
14.57,34,7,14,19,18,24,18
15.61,48,6,12,25,24,35,14
14.4,41,6,14,18,20,27,22
14.94,46,6,19,23,24,31,22
13.78,46,6,18,22,17,31,26
14.54,41,6,9,24,15,33,20
12.15,34,6,13,23,20,29,24
12.64,35,12,14,18,15,27,23
14.35,31,6,13,22,21,32,22
14.76,31,6,17,20,14,24,23
13.64,30,22,21,20,17,27,20
12.31,34,6,17,24,23,35,29
13.05,33,11,16,22,17,29,25
12.2,38,7,15,22,20,32,21
12.84,32,8,16,21,21,32,31
13.63,31,6,19,21,21,28,24
13.22,38,7,21,20,19,30,25
14.35,32,8,10,23,25,34,30
13.47,28,8,12,18,17,25,21
14.39,40,19,22,21,14,26,28
14.42,31,13,22,18,20,27,26
12.26,36,8,18,22,23,34,15
12.22,36,6,7,23,23,28,16
13.75,39,11,15,21,24,25,20
13.21,37,6,10,21,24,31,14
13.67,28,7,9,20,21,28,15
14.78,34,12,19,21,20,27,21
14.7,40,6,15,25,25,35,22
14.47,40,7,17,25,21,30,14
14.84,45,6,23,25,25,33,21
15.74,37,6,12,23,22,29,18
14.93,29,6,15,20,21,31,18
15.62,45,6,14,24,25,34,16
12.71,44,10,22,23,22,23,34
13.33,38,6,12,19,22,35,25
12.17,32,6,10,18,18,22,17
15.19,33,14,18,21,16,30,29
14.92,30,18,28,20,13,26,22
14.98,34,10,17,18,19,31,24
15.03,40,9,17,17,18,24,18
12.99,44,14,20,22,16,26,25
12.19,42,15,21,22,19,25,26
13.34,36,6,10,24,20,32,19
13.39,39,6,14,24,24,35,28
12.82,45,6,9,23,25,33,21
12.83,31,6,10,23,18,32,16
13.92,49,8,13,21,23,21,21
12.81,37,15,24,18,19,30,15
13.37,32,6,12,19,19,34,31
15.51,42,6,12,20,22,32,29
12.76,23,6,15,17,16,28,23
13.52,42,12,15,20,19,29,31
14.43,46,8,20,23,22,33,31
12.07,36,10,11,21,23,31,18
13.79,27,10,17,17,17,27,25
12.22,35,11,16,18,20,32,17
14.31,45,19,28,16,17,27,28
14.59,45,14,30,22,19,27,25
13.85,29,6,12,24,23,25,17
13.95,29,7,14,17,18,33,27
12.84,46,6,9,24,23,32,29
14.09,40,7,16,22,18,29,26
13.68,49,6,7,25,19,35,25
12.88,30,6,11,17,9,27,18
14.67,35,9,26,19,13,25,27
14.06,37,6,11,21,11,25,23
13.13,27,6,11,19,23,33,21
12.61,25,6,11,19,23,32,24
13.4,38,8,16,18,17,35,35
14.79,36,12,18,17,19,26,23
14.3,40,12,16,20,17,29,19
12.42,35,12,16,18,15,26,22
13.95,32,7,11,21,20,31,28
14.49,39,6,15,20,19,27,23
14.63,39,6,28,23,23,35,24
14.83,33,9,23,21,22,31,24
14.52,40,7,13,22,25,34,24
14.78,32,9,22,22,19,35,20
15.46,37,7,24,22,16,32,31
15.26,46,6,10,22,23,31,29
13.1,42,11,14,25,23,35,31
14.2,42,12,16,22,18,30,25
15.25,45,6,13,24,24,32,30
15.87,41,12,16,20,20,27,23
15.78,44,7,20,24,10,35,33
15.16,38,11,16,21,19,28,19
15.13,35,7,17,22,17,35,29
15.1,36,8,13,20,18,26,22
14.93,45,7,12,24,22,34,32
15.31,47,6,18,24,21,35,22
15.31,45,6,19,25,25,35,30
15.68,35,15,24,20,20,32,30
15.57,40,13,24,22,21,35,29
15.47,31,14,30,20,23,35,33
15.54,33,18,23,22,18,29,27
13.88,36,11,21,21,21,32,21
14.46,45,6,17,20,22,32,33
15.88,38,13,35,21,20,29,25
14.6,42,11,24,23,25,32,27
14,37,19,23,20,19,25,27
13.72,45,8,24,24,25,29,31
14.01,39,20,26,21,21,26,24
15.02,44,17,29,24,22,30,27
14.18,35,19,25,19,24,28,24
13.21,42,6,12,23,21,30,27
15.2,34,12,15,23,18,32,12
15.61,45,6,17,23,19,32,31
12.9,41,6,16,25,25,32,26
13.78,41,14,24,25,22,29,24
15.66,37,6,18,23,25,35,25
15.84,40,14,25,22,17,28,19
14.02,39,8,11,21,19,33,23
15.07,42,15,30,24,20,30,27
13.82,42,13,22,23,21,29,30
14.81,37,6,21,22,19,25,29
13.81,48,14,32,25,25,35,29
13.69,38,6,22,22,24,30,20
15.39,40,6,12,24,24,35,20
15.41,36,18,20,19,25,31,20
14.85,33,8,16,17,22,30,14
14.71,37,14,20,18,19,29,23
14.83,42,7,24,25,21,28,19
12.94,36,6,7,22,23,29,22
14.05,43,6,21,23,23,32,23
14.57,43,14,30,22,24,35,29
14.57,47,6,11,23,25,34,21
14.76,40,6,9,22,24,34,20
15.35,41,10,12,25,25,30,17
15.2,45,11,24,25,24,35,27
15.1,36,6,24,20,20,34,32
15.86,43,6,8,24,24,35,18
14.15,41,6,14,19,17,28,11
15.34,42,6,15,23,18,31,21
14.5,37,7,14,19,22,28,28
15.82,41,15,20,22,25,35,32
14.66,41,8,22,20,19,33,28
15.34,42,6,21,21,19,29,21
14.99,47,6,16,25,23,33,33
15.78,35,6,23,21,20,28,24
15.67,42,8,28,24,25,27,29
12.86,36,9,18,20,23,28,19
12.54,41,12,16,20,17,26,23
13.47,48,7,27,24,24,33,34
14.11,32,20,22,17,19,24,18
14.32,37,6,25,24,23,34,30
15.68,44,13,24,21,23,30,29
13.48,36,15,18,20,25,31,21
13.85,43,6,12,19,21,27,24
14.99,44,12,16,17,15,26,21
12.39,33,12,14,16,15,24,24
12.85,38,6,11,24,24,34,15
12.67,41,17,27,23,22,31,30
12.2,39,10,16,23,21,30,19
12.76,36,18,17,18,16,28,21
12.23,30,6,11,25,21,31,26
13.65,38,15,18,18,18,30,22
15.57,39,6,12,18,23,34,26
14.59,34,8,21,18,21,26,30
15.16,36,6,12,24,23,34,27
15.84,38,6,9,22,22,35,21
12.5,42,13,16,19,16,35,25
15.61,40,17,28,20,22,32,25
15.53,47,15,21,20,20,30,30
13.72,38,8,18,23,23,34,23
13.69,47,24,28,20,20,35,35
13.82,39,6,8,25,23,35,19
13.2,39,6,16,24,18,27,18
13.52,36,12,20,23,23,35,35
13.43,41,19,28,21,21,26,24
14.47,46,6,12,24,23,34,31
14.7,42,7,14,25,22,35,27
12.18,45,6,11,25,25,34,22
13.71,37,9,23,23,23,34,16
12.92,41,10,23,22,25,30,16
12.22,44,6,20,23,22,33,30
12.97,41,6,16,25,25,34,21
14.64,37,18,24,18,19,31,27
14.56,48,6,17,24,23,35,16
14.22,48,7,13,25,24,35,26
14.85,37,19,23,25,25,30,30
15.37,44,12,26,21,23,30,28
13.96,38,12,25,18,19,29,20
13.68,39,6,11,21,20,25,18
12.08,41,6,14,22,23,35,27
12.16,43,12,19,19,17,29,33
14.22,41,11,14,20,21,28,21
12.26,41,6,13,24,25,26,14
14.22,37,8,9,23,18,32,15
14.88,38,7,19,24,25,34,28
12.88,43,17,20,22,20,30,23
13.96,38,7,19,23,17,33,25
14.09,34,15,21,19,18,31,26
14.19,30,21,25,20,15,27,28
14.78,35,8,31,12,14,24,25
12.45,43,6,10,24,25,34,26
12.12,43,13,29,21,25,35,31
14.1,43,12,20,22,17,29,25
14.6,48,6,13,25,16,35,24
13.34,47,6,16,25,23,35,24
12.14,45,11,19,18,21,30,16
13.23,43,6,15,22,24,26,18
13.11,45,6,11,25,25,35,28
13.08,36,12,18,23,22,33,16
14.42,41,16,18,20,20,30,25
13.08,31,9,23,23,17,26,26
12.04,49,6,8,24,23,33,34
15.22,45,6,24,24,22,35,26
15.02,32,19,27,25,24,35,28
14.93,37,6,17,18,11,31,24
15.66,28,10,16,20,19,27,16
15.43,36,12,16,19,19,24,15
13.33,25,6,27,25,19,32,17
13.73,31,7,11,16,25,25,14
13.57,36,12,23,21,19,30,21
13.57,35,14,17,20,16,27,24
13.24,39,9,15,22,17,29,23
13.29,39,6,14,20,18,28,21
13.78,36,18,20,21,22,30,23
13.56,42,18,28,22,20,31,32
13.73,49,12,16,24,22,35,29
13.22,44,10,16,25,24,32,23
13.65,30,9,12,22,23,33,16
14.83,30,13,16,19,20,31,16
15.66,41,6,17,23,20,29,17
14.04,36,6,12,22,22,31,14
14.17,31,12,15,18,12,27,22
14.37,45,14,27,20,18,29,21
14.08,42,8,17,24,22,33,22
14.19,38,12,23,21,5,28,22
14.81,43,6,13,25,25,35,18
14.75,31,8,12,21,21,32,27
14.13,40,6,10,23,23,30,19
13.91,38,16,27,23,21,34,22
13.92,39,6,20,23,21,31,27
14.81,30,14,24,20,18,32,20
14.13,36,7,15,24,23,28,18
14.68,42,6,17,23,20,32,23
14.4,42,6,29,23,5,33,29
13.95,36,13,22,18,20,25,17
14.13,44,8,19,24,22,35,27
14.23,35,9,17,22,21,34,19
13.85,41,6,9,23,24,32,18
14.18,49,6,8,24,25,35,32
14.37,44,13,20,20,16,29,28
14.69,49,10,18,25,24,35,33
14.19,24,10,21,11,16,18,15
13.87,36,6,19,25,24,33,23
14.47,31,12,14,16,16,25,12
14.5,46,7,18,20,21,34,26
14.78,36,19,21,19,18,20,22
15.68,41,11,14,20,20,26,16
13.84,29,6,7,21,24,34,13
13.85,43,14,20,22,21,29,26
14.77,35,10,23,21,14,27,17
15.24,42,9,26,19,25,30,29
15.62,34,12,27,20,18,27,24
15.81,42,6,17,25,23,34,25
15.67,42,6,16,21,22,32,24
14.9,36,13,19,21,13,31,22
15.62,41,7,14,23,24,32,21
15.78,32,12,28,19,19,27,21
14.08,40,13,19,25,18,30,17
14.01,37,13,21,22,18,32,23
14.68,46,6,13,25,24,35,27
14.01,45,7,13,17,24,25,26
12.51,37,19,24,19,14,27,24
12.27,37,6,7,24,24,30,17
12.78,43,16,21,22,22,28,22
12.72,40,8,23,23,23,32,34
12.29,30,11,19,24,21,32,24
12.02,41,8,14,22,22,32,17
12.55,44,7,19,23,18,29,31
13.03,40,8,13,23,19,31,19
13.01,45,6,29,21,22,32,28
12.84,29,18,18,17,19,22,21
13.58,34,12,34,20,19,25,30
13.53,40,6,13,23,21,35,21
12.84,42,6,8,23,21,35,10
13.37,41,6,20,24,24,35,31
13.3,34,10,19,18,19,25,16
12.85,47,6,14,19,16,29,30
13.3,39,6,18,24,25,33,19
13.54,45,8,20,22,21,33,33
13.24,46,7,12,23,19,33,32
14.19,43,9,15,16,22,25,26
14.03,45,6,21,22,24,28,25
14.08,36,6,11,19,16,27,16
14.74,30,6,13,17,23,24,13
14.2,43,6,21,24,20,34,20
14.59,42,6,20,24,22,34,23
13.96,35,8,16,21,21,30,28
13.55,47,15,26,25,25,34,32
13.75,43,8,11,21,23,30,25
13.01,37,14,20,21,18,33,21
13.51,31,11,22,19,14,29,12
13.39,46,9,15,22,22,31,23
13.09,47,7,12,23,23,33,21
13.23,40,6,13,21,23,27,13
12.21,44,19,23,20,17,21,27
12.64,45,6,12,24,23,34,29
12.44,41,7,14,18,19,29,27
12.1,44,10,18,23,23,34,28
12.25,39,15,30,22,16,30,20
12.08,38,10,14,24,16,32,22
12.78,35,10,13,21,13,24,18
12.33,37,10,21,20,20,26,18
12.8,29,10,19,20,18,26,13
12.08,37,11,17,21,20,30,19
12.01,33,7,20,22,24,34,23
12.59,36,22,31,18,13,31,22
12.34,40,18,21,20,16,28,25
12.09,38,20,19,19,16,25,22
12.01,33,15,23,19,21,27,27
12.08,33,12,14,20,20,28,17
12.21,42,16,23,19,20,28,27
12.9,19,14,22,25,23,30,31
14.12,48,6,24,25,21,34,35
13.01,36,10,15,18,20,23,21
14.32,43,8,16,21,20,29,19
13.12,40,6,10,24,21,34,11
13.03,35,11,15,21,21,30,24
13.58,37,6,11,25,25,34,12
13.85,44,6,11,23,23,32,16
13.2,38,6,23,25,21,35,18
15.63,37,8,13,21,23,32,29
13.78,35,10,17,22,22,30,18
15.63,35,10,16,21,20,30,28
12.26,35,6,12,25,25,35,25
14.78,47,12,24,25,20,31,28
12.71,36,6,18,23,23,33,27
12.16,40,7,18,23,21,31,25
12.51,36,7,13,25,25,34,23
14.48,41,6,12,24,22,33,14
14.96,36,19,27,23,21,31,33
15.08,34,6,14,21,20,27,21
14.09,46,6,14,25,25,35,22
14.23,34,14,20,17,17,24,18
14.65,36,9,20,22,21,31,15
14.34,41,8,17,20,15,27,26
15.98,43,10,31,24,23,33,27
15.85,41,6,21,21,25,31,29
15.16,40,17,24,23,19,27,28
14.94,30,6,10,25,23,35,22
14.98,42,25,32,24,19,34,33
13,47,10,15,21,23,30,30
15.55,35,8,29,24,24,34,29
13.08,32,6,19,23,20,30,21
12.45,43,6,23,23,22,35,35
14.07,30,6,7,24,25,35,10
15.3,42,6,14,24,25,35,21
15.64,42,6,9,19,22,30,20
15.63,45,7,17,24,24,30,24
15.91,39,6,7,25,25,35,15
14.46,44,6,16,24,24,31,30
15.32,42,7,20,19,21,35,27
15.79,46,7,15,25,23,35,15
15.88,36,7,21,20,25,28,22
15.99,45,13,11,18,20,33,24
15.34,31,11,15,22,21,31,21
14.74,36,6,17,21,24,35,22
14.43,38,6,11,23,23,35,29
13.62,43,6,13,24,23,35,25
14.67,38,6,9,21,20,30,23
15.25,32,9,14,18,16,33,24
14.75,42,6,14,25,25,35,29
14.89,39,7,16,23,21,33,32
14.03,44,6,11,23,25,32,17
14.13,34,10,18,20,21,30,25
13.55,48,6,21,24,25,35,28
15.33,36,6,11,23,24,35,21
14.85,45,8,7,24,23,32,16
15.11,37,8,11,24,20,30,22
14.02,34,6,11,18,19,28,20
13.62,27,6,12,20,19,21,15
14.38,23,6,7,20,20,30,22
14.64,37,15,17,22,19,30,23
13.03,41,17,26,23,23,31,23
12.54,33,15,20,22,23,35,29
12.74,34,17,22,22,19,26,21
14.59,33,15,22,19,16,32,26
14.6,39,12,28,18,18,24,21
14.63,37,14,20,21,20,30,25
14.96,41,10,23,20,22,34,35
12.03,39,7,25,22,24,31,16
13.17,44,9,33,24,21,35,24
13.91,43,17,21,21,22,29,32
14.01,46,11,18,22,25,29,30
14.33,39,14,21,20,19,26,16
14.57,31,10,20,16,21,32,15
14.4,37,16,29,18,20,23,18
14.99,39,7,20,22,22,31,23
14.81,36,6,15,20,24,26,15
14.66,35,6,19,23,23,30,21
14.66,37,18,17,23,22,27,16
15.68,40,15,21,22,18,34,32
13.85,35,8,13,23,17,33,28
14.02,44,6,12,22,22,35,24
14.13,36,9,11,20,21,28,27
13.4,40,6,9,20,17,31,22
12.22,41,9,12,18,17,30,23
13.35,34,15,18,20,23,29,21
14.84,25,7,14,19,21,27,11
13.94,41,9,19,25,24,27,27
13.99,43,13,26,25,25,33,26
13.68,35,11,18,20,19,31,26
13.36,44,12,18,24,22,32,26
13.11,32,9,15,16,20,27,18
13.76,34,13,12,20,22,27,20
13.76,38,6,17,18,14,29,26
14.76,29,17,19,16,16,17,18
15.87,30,10,27,22,17,22,20
14.54,40,25,23,14,16,24,26
15.51,46,14,22,24,17,29,24
14.4,34,11,13,22,18,32,18
14.87,38,14,20,21,15,32,14
14.75,37,12,23,20,16,28,27
14.28,37,9,13,24,21,33,21
14.93,31,6,23,22,14,29,18
14.41,41,8,8,24,18,33,12
14.47,29,13,17,18,15,26,18
14.05,46,9,26,24,21,32,32
13.87,39,6,8,23,22,28,28
14.83,24,12,16,18,18,26,9
13.26,30,6,15,19,22,27,22
13.32,34,16,19,22,19,30,30
12.15,39,6,9,18,20,28,20
12.16,37,8,12,22,19,28,20
13.87,46,6,19,24,23,33,16
12.02,31,12,13,18,17,24,20
14.12,28,8,17,21,17,33,28
13.35,33,12,15,19,16,25,23
13.02,42,9,15,21,20,35,13
14.1,19,10,12,17,11,16,14
14.78,40,6,12,23,18,35,30
13.97,32,10,13,18,16,28,23
13.36,46,22,35,17,11,35,35
13.43,30,15,16,19,17,29,24
15.92,40,6,7,23,19,33,17
12.15,43,6,14,24,17,28,18
15.72,41,10,32,25,13,32,30
12.4,43,13,19,22,24,30,17
12.84,34,7,11,18,17,32,18
12.67,44,7,11,25,20,35,25
12.6,43,6,8,25,25,35,22
12.03,43,6,8,25,21,35,16
14.11,40,21,27,16,7,35,35
12.82,26,11,21,20,23,34,27
14.44,36,6,14,18,22,32,15
13.05,49,6,13,21,25,35,25
12.82,43,6,8,25,25,35,19
13.02,41,24,25,25,16,32,27
14.59,43,26,35,23,6,35,31
15.21,39,8,17,19,17,28,23
15.54,42,19,28,19,18,33,24
13.05,44,13,29,24,24,33,29
15.92,38,6,19,22,20,29,17
13.15,45,10,20,21,25,29,23
15.74,38,8,19,25,25,34,21
15.32,37,12,20,18,18,31,22
15.97,46,6,27,25,25,35,29
15.02,40,22,31,25,16,31,21
15.1,39,6,19,20,19,33,16
14.34,40,18,29,23,23,30,21
14.68,40,21,28,23,24,31,24
14.44,38,6,9,22,22,31,33
14.55,39,7,12,22,21,32,24
14.4,44,6,13,18,15,27,21
12.13,43,6,10,24,25,30,18
12.38,35,7,13,22,20,33,29
13.62,38,14,22,22,19,30,25
13.61,49,20,34,23,23,35,23
13.8,36,6,12,19,24,29,16
13.3,36,6,12,20,22,31,19
13.55,34,6,16,23,21,30,22
13.9,43,16,31,22,7,31,32
13,40,9,17,18,16,30,27
14.02,45,6,22,25,25,34,34
14,41,14,30,24,19,34,24
13.64,40,11,31,25,9,33,32
13.06,35,6,8,20,25,27,23
13.86,40,6,27,23,18,34,28
12.98,39,8,24,21,17,26,29
12.51,39,6,14,19,20,25,19
13.28,41,11,23,20,21,29,16
12.6,44,6,21,23,25,32,26
12.7,38,7,18,24,25,33,25
12.92,44,6,12,23,24,28,27
12.7,46,14,25,22,24,29,27
12.97,43,7,13,19,16,34,26
14.61,42,12,28,24,15,31,20
14.38,40,15,21,21,16,33,17
14.61,41,6,12,24,16,33,20
14.26,44,18,25,21,18,34,16
14.94,43,8,13,22,24,32,30
14.33,39,7,25,19,18,31,30
14.83,32,11,31,22,15,25,32
14.25,34,12,17,20,21,26,19
12.93,36,6,8,19,23,26,16
13.71,46,8,19,24,25,34,26
13.22,39,8,17,19,20,30,26
14.19,39,6,8,23,22,33,19
12.93,40,11,18,20,19,27,22
13.68,38,10,15,19,23,33,24
14.24,41,6,7,25,23,34,22
14.6,36,6,10,23,23,30,22
14.58,44,6,18,24,24,35,29
14.03,45,9,11,25,23,32,26
13.63,44,6,11,25,22,35,7
14.49,37,6,14,20,23,31,23
13.28,46,6,9,25,25,35,16
13.8,42,7,14,22,19,33,31
13.22,41,6,7,22,21,35,29
14.69,40,9,24,21,16,30,27
14.36,39,12,21,20,19,27,20
14.05,39,18,21,21,19,32,21
14.97,31,6,18,19,20,27,19
14.7,30,20,18,11,16,21,26
12.08,40,12,19,22,16,32,21
14.99,36,13,21,14,16,21,20
14.78,41,6,19,19,21,34,19
14.87,25,11,24,22,18,29,20
14.16,26,9,14,18,22,31,20
14.64,40,12,17,21,16,35,32
14.73,29,19,23,12,14,25,23
13.33,29,21,29,24,21,34,25
13.18,38,13,16,21,19,26,17
13.93,35,7,18,21,22,27,16
12.54,38,10,22,22,21,30,19
13.93,43,6,10,25,24,33,18
13.16,44,7,9,19,22,30,10
14.91,32,10,8,20,21,35,27
13.18,34,6,12,18,19,33,27
13.68,42,7,12,22,23,35,14
13.83,39,7,23,23,24,35,22
13.63,44,9,23,25,24,35,29
13.08,45,6,7,24,25,34,11
13.06,45,6,12,24,23,35,20
15.08,38,11,18,24,23,32,24
13.92,26,12,15,20,20,25,21
14.93,33,14,19,21,19,26,15
13.1,43,6,12,24,23,34,25
14.25,35,11,17,21,19,29,23
13.96,37,12,23,25,20,30,25
13.35,41,12,14,24,22,28,24
12.52,42,8,12,25,20,35,24
14.59,27,26,29,17,16,33,33
14.99,40,26,27,19,16,32,33
13.52,37,17,20,16,16,25,31
14.52,26,25,28,17,21,27,28
15.72,44,25,24,25,25,34,30
15.56,42,8,16,17,19,28,22
15.6,44,16,25,23,21,30,29
14.58,46,10,30,24,24,32,24
14.01,37,12,16,21,20,31,26
14.1,42,14,22,24,25,33,21
13.79,33,7,9,24,24,30,23
14.05,40,6,25,24,23,30,22
15.04,47,7,14,24,17,32,24
13.92,38,15,27,25,23,31,29
13.88,43,6,11,25,25,34,28
14.15,45,10,14,25,24,35,9
14.9,48,21,30,24,20,35,34
15.09,37,16,22,22,20,34,24
14.43,38,9,22,22,20,29,20
14.74,29,12,21,21,17,25,24
15.75,39,13,17,19,19,27,22
15.93,36,15,22,25,16,32,28
14.76,39,7,20,21,20,29,17
14.82,45,24,25,20,17,24,26
14.91,45,12,26,21,20,21,30
14.64,43,7,9,25,23,34,25
15.99,46,21,34,20,25,35,35
14.86,40,19,20,23,18,31,24
15.73,46,29,33,22,24,34,31
13.16,35,8,16,24,21,27,8
14.31,42,7,13,20,20,30,16
14.14,39,7,16,22,23,27,15
14.19,26,12,15,18,12,22,16
14.19,35,12,16,22,19,31,19
14.09,43,6,27,25,25,35,35
14.58,41,21,25,17,17,28,28
14.35,34,18,22,18,19,29,19
14.52,27,17,24,16,18,27,26
14.3,45,19,27,22,19,34,21
14.62,41,7,21,17,20,24,24
14.21,30,15,17,21,21,28,12
15.2,30,10,14,18,18,29,14
15.03,32,12,19,18,19,27,17
15.35,23,6,7,17,18,23,15
15.09,31,12,16,21,20,28,21
15.37,35,6,8,22,22,29,18
15.07,28,17,17,22,15,29,26
14.27,22,10,17,17,11,22,17
14.42,36,19,25,22,24,33,24
14.64,31,11,13,19,14,24,20
14.65,35,7,11,14,14,19,17
14.11,41,7,20,24,17,35,25
13.94,44,6,13,20,17,30,13
14.13,42,15,19,21,13,27,23
13.58,36,6,16,19,15,32,17
13.09,35,10,16,19,22,29,12
13.22,35,22,25,23,24,29,20
15.47,37,6,17,20,24,27,22
13.57,32,11,14,18,19,28,15
13.61,39,16,18,20,16,31,23
12.83,39,8,18,20,19,26,26
13.4,35,7,10,20,20,32,29
14.08,34,8,9,19,20,29,19
12.01,16,9,14,14,17,20,11
12.24,20,16,19,14,8,19,11
12.01,24,7,10,13,17,22,11
12.92,21,6,13,21,20,29,17
12.19,44,7,9,19,25,27,19
12.35,32,6,16,17,17,22,15
12.78,40,10,17,23,16,27,20
12.29,39,10,9,21,16,22,16
12.72,31,8,14,23,22,27,15
12.3,38,18,21,22,25,32,19
12.62,21,6,7,16,25,34,27
13.4,40,15,17,16,19,23,14
12.15,43,6,7,22,23,32,25
12.23,31,9,21,15,19,30,33
12.79,40,7,15,22,20,29,29
12.58,36,15,21,20,10,22,24
12.8,38,10,14,24,14,33,29
12.44,39,6,14,23,23,31,22
12.59,44,8,9,21,18,34,27
12.62,28,15,13,23,23,30,22
12.01,26,14,21,14,10,21,18
12.31,22,7,10,15,9,19,17
12.75,41,20,30,25,23,35,28
13.57,34,25,24,15,12,20,18
13.26,34,12,16,15,14,27,20
12.93,46,7,19,25,19,34,35
13.73,26,9,18,18,20,29,25
12.97,40,13,17,24,23,32,25
13.48,36,14,17,16,16,30,22
13.76,45,7,11,23,19,34,20
13.16,35,7,12,17,20,17,27
13.6,40,10,11,20,23,28,11
14.3,44,10,18,22,20,35,23
13.98,30,8,11,19,18,32,24
14.37,36,10,22,18,7,30,27
14.3,31,6,14,23,12,31,28
12,44,25,31,24,23,33,31
